"NO3_euphotic","date"
1.6708303346158,2004-03-08
0.708423926355648,2004-04-06
2.96697025517047,2004-05-13
0.591963445383535,2004-06-08
2.37981212125706,2004-07-07
1.13629944542415,2004-08-10
0.431966693736925,2004-11-09
4.20422408944654,2004-12-07
1.69155960438394,2005-01-11
1.05505423110509,2005-02-10
0.643938867979533,2005-03-08
3.30757189830647,2005-04-05
1.66867655141801,2005-07-12
3.63244482813592,2005-08-10
1.02232109773312,2005-12-15
2.34342177603274,2006-01-12
1.99026063932538,2006-02-07
2.0331470882781,2006-03-16
4.64495847328697,2006-04-04
1.94901215634193,2006-06-06
1.86475112056227,2006-07-04
3.3387956045444,2006-08-03
0.96271217938856,2006-09-12
1.07527976900365,2006-10-10
0.163729704104848,2006-11-02
0.356736464311468,2006-12-05
4.85023394828565,2007-02-06
5.11430732499688,2007-03-06
3.40727551425629,2007-04-10
1.7982068579895,2007-05-08
0.102050013822,2007-06-05
0.267676937960961,2007-09-04
0.2376084251886,2007-10-09
0.713165644590258,2007-12-11
1.63873419278441,2008-01-10
2.6003188852298,2008-02-12
3.59028876101607,2008-03-11
2.66733406522117,2008-04-08
2.3543448294835,2008-05-06
0.582075551445086,2008-06-04
2.70512892980662,2008-07-08
1.42638089071045,2008-08-05
0.0777800635848981,2008-09-10
0.169030530727102,2008-10-10
0.377717341789329,2008-11-18
0.20249292421766,2008-12-10
1.83484332431678,2009-01-13
5.32465289047448,2009-02-10
3.14256251002508,2009-03-03
3.77668106074375,2009-04-07
2.94759968352196,2009-05-08
3.42002825183655,2009-06-02
1.08205107242927,2009-07-14
1.93332499145547,2009-08-11
0.587095141895068,2009-09-15
1.069927051845,2009-10-06
0.143494511995105,2009-11-10
0.442375785876983,2009-12-08
1.16523963257604,2010-01-12
1.90785071867293,2010-02-11
1.30839857844825,2010-03-09
0.870333742818601,2010-04-07
0.702788813376999,2010-05-11
0.902475681955159,2010-06-08
0.443157914774339,2010-08-04
0.0391077930660053,2010-09-15
0.594544597746945,2010-10-04
0.256562380221465,2010-11-09
1.57275274137736,2010-12-08
4.61298078497759,2011-01-11
2.13357519879063,2011-02-08
4.38373284813601,2011-03-15
4.23823657011249,2011-04-12
2.11059087849838,2011-05-10
1.74526424566117,2011-07-07
0.0215914476659299,2011-08-09
0.135218100843107,2011-09-06
0.483039748280617,2011-10-04
0.239553070918047,2011-11-18
2.55205291993783,2012-01-10
1.25338334629466,2012-02-07
5.32726182416448,2012-03-16
3.50374226112906,2012-04-10
0.00528274681405434,2012-05-15
0.695499402317383,2012-07-26
0.507888176645541,2012-08-14
0.493353455527465,2012-09-10
0.512157994672754,2012-10-10
0,2012-11-08
0.268469746192779,2012-12-04
2.98245278177325,2013-03-05
0.738701336419787,2013-04-09
2.05764415052287,2013-05-09
0.516968459849119,2013-06-11
0.459232809772774,2013-07-11
0.381292855090549,2013-08-13
0,2013-09-11
0.592129441815711,2013-10-08
0.298098296340278,2013-11-13
0.649812070640698,2013-12-04
4.70317556605927,2014-01-14
5.26082615269719,2014-02-04
3.51621552934392,2014-04-01
4.98705657169061,2014-05-06
1.58168068191601,2014-06-13
0.645467794366933,2014-09-03
1.03961547381398,2014-11-12
1.71746910245042,2014-12-04
2.58822811104715,2015-02-15
1.74273882888666,2015-03-10
3.82209673240026,2015-04-24
1.58885195439097,2015-07-29
3.52326998201636,2015-08-18
0.620855664331401,2015-09-10
1.73420912956969,2015-11-16
5.01388353072958,2015-12-09
2.8026698182593,2016-01-12
2.42370107591458,2016-02-04
0.808621183290617,2016-05-11
0.245505089633524,2016-06-07
0.480243363194848,2016-09-20
0.802434413250992,2016-12-21
2.00302125256066,2017-01-12
